name,quantity,Full URL,tcgplayer_id,Image URL,Initial Price
Secret Lair Drop: Secret Lair x Fallout: Greet the Dog - Non-Foil Edition,1,"https://www.tcgplayer.com/product/673777/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-fallout-greet-the-dog-non-foil-edition",673777,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/060120c89d0bc18bea9175c1882a6eff.png",29.99
Secret Lair Drop: MagicCon: The Gathering - Foil Edition,1,"https://www.tcgplayer.com/product/649746/magic-secret-lair-drop-series-secret-lair-drop-magiccon-the-gathering-rainbow-foil-edition",649746,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/9ffe41249edc1ec5c4463e578073391b.png",0
Secret Lair Drop: Trick or Treat - Non-Foil Edition,1,"https://www.tcgplayer.com/product/656351/magic-secret-lair-drop-series-secret-lair-drop-trick-or-treat-non-foil-edition",656351,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/d04e7e9c4540f5c7860488e733986760.png",29.99
Secret Lair Drop: Secret Lair Promo: Silver Shroud Costume,2,"https://www.tcgplayer.com/product/674541/magic-secret-lair-drop-series-silver-shroud-costume",674541,"https://media.wizards.com/2026/images/daily/dwJTZ5dWqU/tq33rqcHmH_f.webp",0
Secret Lair Drop: Secret Lair Promo: Sol Ring - Rainbow Foil Edition,1,"https://www.tcgplayer.com/product/622973/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-promo-sol-ring-rainbow-foil-edition",622973,"https://cards.scryfall.io/display/front/3/e/3e10052f-b3e5-4a2c-b268-9a12ce354eb9.webp?1783907941",0
Secret Lair Drop: Secret Lair Promo: Deadeye Navigator - Rainbow Foil Edition,2,"https://www.tcgplayer.com/product/627697/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-promo-deadeye-navigator-rainbow-foil-edition",627697,"https://media.wizards.com/2025/images/daily/ye7baAeAgM.webp",0
Secret Lair Commander Deck: Goblin Storm,1,"https://www.tcgplayer.com/product/693209/magic-secret-lair-drop-series-secret-lair-commander-deck-goblin-storm",693209,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/dd675f377c1b45ca6e9aeda713f69703.png",149.99
Secret Lair Drop: Secret Lair x Garfield: As Intended - Traditional Foil Edition,1,"https://www.tcgplayer.com/product/694968/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-garfield-as-intended-traditional-foil-edition",694968,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/706bb16e962b0f8c8ec576a5fde6c5b7.png",39.99
Secret Lair Drop: Secret Lair x Garfield: Motivationally Challenged - Traditional Foil Edition,2,"https://www.tcgplayer.com/product/694966/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-garfield-motivationally-challenged-traditional-foil-edition",694966,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/07b81349593b5e9c5c8b550cef539ff4.png",39.99
Secret Lair Drop: Secret Lair x Garfield: Motivationally Challenged - Non-Foil Edition,1,"https://www.tcgplayer.com/product/694965/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-garfield-motivationally-challenged-non-foil-edition",694965,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/677920c7fbdd2f4b730d1b9333f9b6b4.png",29.99
Secret Lair Drop: Witch's Familiar - Traditional Foil Edition,1,"https://www.tcgplayer.com/product/695473/magic-secret-lair-drop-series-secret-lair-drop-witchs-familiar-traditional-foil-edition",695473,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/c36f73eee2c01441e29832e7470b08e8.png",39.99
Secret Lair Drop: Witch's Familiar - Non-Foil Edition,1,"https://www.tcgplayer.com/product/695470/magic-secret-lair-drop-series-secret-lair-drop-witchs-familiar-non-foil-edition",695470,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/1735149e13e72c32ac1be940b8217432.png",29.99
Secret Lair Drop: Purr Majesty - Traditional Foil Edition,2,"https://www.tcgplayer.com/product/695135/magic-secret-lair-drop-series-secret-lair-drop-purr-majesty-traditional-foil-edition",695135,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/b53bb09537f413a2ceac98bab3e86681.png",39.99
Secret Lair Drop: Purr Majesty - Non-Foil Edition,1,"https://www.tcgplayer.com/product/695134/magic-secret-lair-drop-series-secret-lair-drop-purr-majesty-non-foil-edition",695134,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/8ea19a55f703e29ced1f36e4b8285343.png",29.99
Secret Lair Drop: Cats of Chaos - Traditional Foil Edition,1,"https://www.tcgplayer.com/product/700796/magic-secret-lair-drop-series-secret-lair-drop-cats-of-chaos-traditional-foil-edition",700796,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/93af42733042d95008cb1f25354e3534.png",39.99
Secret Lair Drop: Cats of Chaos - Non-Foil Edition,1,"https://www.tcgplayer.com/product/700795/magic-secret-lair-drop-series-secret-lair-drop-cats-of-chaos-non-foil-edition",700795,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/48cdbe3c163d51cc2feb2472977185d5.png",29.99
Secret Lair Drop: Secret Lair Promo: Garfield Food Token (0918),2,"https://www.tcgplayer.com/product/701032/magic-secret-lair-drop-series-food-token-0918",701032,"https://cards.scryfall.io/display/front/8/e/8e6b1c7b-ef76-446a-9d05-6a5fb34fa68b.webp?1783995730",0
Secret Lair Drop: Festival in a Box Amsterdam 2026 Bundle - Secret Lair Drop Series (SLD),1,"https://www.tcgplayer.com/product/703900/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Festival%20in%20a%20Box%20Amsterdam%202026%20Bundle",703900,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/e499f0b1d56691cefdba25f5658c7159.png",199.99
Secret Lair x Stardew Valley: Life in Pelican Town Foil Edition,1,"https://www.tcgplayer.com/product/707167/Magic-Secret-Lair-Drop-Series-Secret-Lair-Drop-Secret-Lair-x-Stardew-Valley-Life-in-Pelican-Town-Traditional-Foil-Edition",707167,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/0e213c9392437c75944dbc5cc983bbf4.png",39.99
Secret Lair x Stardew Valley: Life in Pelican Town,1,"https://www.tcgplayer.com/product/707165/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20Drop%20Secret%20Lair%20x%20Stardew%20Valley%20Life%20in%20Pelican%20Town%20Non%20Foil%20Edition",707165,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/11bc562015e22828f23cb80998900295.png",29.99
Secret Lair x Stardew Valley: Welcome to Stardew Valley,1,"https://www.tcgplayer.com/product/707163/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-stardew-valley-welcome-to-stardew-valley-non-foil-edition",707163,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/663e58183bc8c806fc90727ebe112eba.png",39.99
Secret Lair x Stardew Valley: Welcome to Stardew Valley Foil Edition,1,"https://www.tcgplayer.com/product/707164/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-stardew-valley-welcome-to-stardew-valley-traditional-foil-edition",707164,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/888b4f6d7698065da8c5e18d94930400.png",49.99
